task,arch,size,seed,threshold,sparsity_ffn,sparsity_global,params_original,params_effective,compression_rate,test_loss,test_acc,test_f1,test_ppl
classification,kan_bspline,base,42,0.01,0.9163425596045964,0.3764489412497502,123966724,77299582.0,1.6037179088497528,0.2718379060823877,91.36842105263158,91.31884806433504,
classification,kan_bspline,base,1337,0.01,0.9163474096254576,0.3764509337199231,123966724,77299335.0,1.6037230333223436,0.2780446519120401,91.15789473684212,91.12805622234085,
classification,kan_bspline,base,2024,0.01,0.9162013002925564,0.3763909095476299,123966724,77306776.0,1.6035686703582102,0.2760012107236044,91.1842105263158,91.13211163702309,
classification,kan_bspline,small,42,0.01,0.9083586046476672,0.2843476813476467,40804996,29202190.0,1.397326570370236,0.2600080424121448,91.94736842105264,91.9328716906306,
classification,kan_bspline,small,1337,0.01,0.9083794292127626,0.2843542001572552,40804996,29201924.0,1.3973392986023798,0.2900892024656303,91.23684210526316,91.1990976646676,
classification,kan_bspline,small,2024,0.01,0.9074521097633076,0.2840639170752522,40804996,29213769.0,1.3967727341172582,0.2530340580504481,91.63157894736842,91.58353446749656,
classification,kan_bspline,tiny,42,0.01,0.9021032497594996,0.190967928920558,15084868,12204142.0,1.2360449427743463,0.2624431771515798,91.47368421052632,91.47061677828064,
classification,kan_bspline,tiny,1337,0.01,0.9019225614277696,0.1909296786687162,15084868,12204719.0,1.2359865065307936,0.2550632577045124,91.89473684210526,91.87940482686956,
classification,kan_bspline,tiny,2024,0.01,0.9020760055916306,0.1909621615515628,15084868,12204229.0,1.236036131409858,0.2563890572167745,91.61842105263158,91.61573738438054,
classification,kan_grkan,base,42,0.01,0.3951240292301884,0.1802196998273324,124143748,101770599.0,1.2198390224665967,0.2518426561180283,91.67105263157896,91.6433784375035,
classification,kan_grkan,base,1337,0.01,0.4108898374769423,0.1874106298127876,124143748,100877890.0,1.230633868333289,0.2487428420919831,91.71052631578948,91.68053090686344,
classification,kan_grkan,base,2024,0.01,0.4110132146764684,0.1874669032869863,124143748,100870904.0,1.230719098145487,0.2475891892774766,91.88157894736842,91.85025357518856,
classification,kan_grkan,small,42,0.01,0.4084743217185692,0.1415863916144039,40839172,35056901.0,1.1649395934911646,0.2588185600999023,91.30263157894736,91.28540378137129,
classification,kan_grkan,small,1337,0.01,0.4091145550763165,0.1418083109030712,40839172,35047838.0,1.1652408345416343,0.2582386109758826,91.65789473684212,91.62653231357392,
classification,kan_grkan,small,2024,0.01,0.4090116995352286,0.1417726588580199,40839172,35049294.0,1.1651924286977078,0.2538308592654076,91.77631578947368,91.75873853829616,
classification,kan_grkan,tiny,42,0.01,0.3903769033926504,0.0914180739024778,15112132,13730610.0,1.100616214428929,0.2508999689036056,91.32894736842104,91.35692996346413,
classification,kan_grkan,tiny,1337,0.01,0.3903172810872395,0.0914041116104597,15112132,13730821.0,1.1005993013819058,0.2573112141998375,91.59210526315788,91.60372266794596,
classification,kan_grkan,tiny,2024,0.01,0.3905272307219328,0.0914532774065234,15112132,13730078.0,1.100658860058916,0.2597057620893006,91.28947368421052,91.28678960359952,
classification,kan_mean,base,42,0.01,0.9164118343964892,0.3764774004998309,123966724,77296054.0,1.6037911068526214,0.2720303115974955,91.26315789473684,91.2356764350483,
classification,kan_mean,base,1337,0.01,0.9176879789542868,0.3770016621557249,123966724,77231063.0,1.6051407190912288,0.2991661591564907,91.11842105263158,91.09240031820308,
classification,kan_mean,base,2024,0.01,0.9163943586128204,0.3764702211538638,123966724,77296944.0,1.603772640739846,0.2794505979458825,91.1842105263158,91.12332092461254,
classification,kan_mean,small,42,0.01,0.9083706609748275,0.2843514553953148,40804996,29202036.0,1.3973339393184776,0.2574673223645747,91.63157894736842,91.62516583817089,
classification,kan_mean,small,1337,0.01,0.9083737142005373,0.2843524111606333,40804996,29201997.0,1.3973358054930285,0.2504846451788389,91.67105263157896,91.66410629572177,
classification,kan_mean,small,2024,0.01,0.9083521850448932,0.2843456717897975,40804996,29202272.0,1.3973226466762587,0.2651905419633669,91.48684210526316,91.45496128397454,
classification,kan_mean,tiny,42,0.01,0.9019557554713804,0.1909367055780667,15084868,12204613.0,1.2359972413709472,0.2442639972231969,91.75,91.75776060093818,
classification,kan_mean,tiny,1337,0.01,0.9018771544813212,0.1909200663870575,15084868,12204864.0,1.235971822381634,0.2515091231765867,91.80263157894736,91.78698263666163,
classification,kan_mean,tiny,2024,0.01,0.902047821969697,0.1909561953077746,15084868,12204319.0,1.236027016337413,0.2574394192828351,91.5,91.48552629031369,
classification,mlp,base,42,0.01,0.4099624421861436,0.1871294488269005,124049668,100836322.0,1.230208178358588,0.2629250077640309,91.22368421052632,91.21467908956733,
classification,mlp,base,1337,0.01,0.4238679144117567,0.1934766725856936,124049668,100048951.0,1.239889741572603,0.27628810246702,91.47368421052632,91.47454949527425,
classification,mlp,base,2024,0.01,0.4097949487191659,0.1870529955791578,124049668,100845806.0,1.2300924839650744,0.2485631059761308,91.4342105263158,91.40082904800572,
classification,mlp,small,42,0.01,0.4100886450873481,0.1423132191445737,40791172,34986049.0,1.1659267955635688,0.2449255355579011,91.52631578947368,91.5248213288565,
classification,mlp,small,1337,0.01,0.4234535076000072,0.1469512324872646,40791172,34796859.0,1.1722659220477345,0.2739164402254489,91.71052631578948,91.70802320261924,
classification,mlp,small,2024,0.01,0.4098630128083406,0.1422349178886059,40791172,34989243.0,1.1658203637043534,0.2445514215266003,91.64473684210526,91.63043389117284,
classification,mlp,tiny,42,0.01,0.3945962411385995,0.0925590296180092,15087172,13690718.0,1.1020000558042318,0.2525978530091898,91.80263157894736,91.7998662698773,
classification,mlp,tiny,1337,0.01,0.3947541978624131,0.0925960809620252,15087172,13690159.0,1.1020450529464267,0.2500735819339752,91.48684210526316,91.48488745995364,
classification,mlp,tiny,2024,0.01,0.3944778442382812,0.0925312576803658,15087172,13691137.0,1.1019663304808067,0.2727135407949696,91.03947368421052,91.0245003729634,
classification,mlp_bspline,base,42,0.01,0.4244933449542584,0.1941942418956541,124418308,100256989.0,1.2409938622832568,0.2828844178687124,91.75,91.73801908302347,
classification,mlp_bspline,base,1337,0.01,0.4245733723396121,0.194230852263318,124418308,100252434.0,1.2410502472189353,0.2839388280731289,91.5657894736842,91.54202668274576,
classification,mlp_bspline,base,2024,0.01,0.394998501001862,0.1807011472941747,124418308,101935777.0,1.2205558407623656,0.2603438632453189,91.14473684210526,91.07666558033212,
classification,mlp_bspline,tiny,42,0.01,0.3946112461911848,0.0939172422080233,15179332,13753731.0,1.1036519472425337,0.2671352752617427,91.14473684210526,91.13093871442372,
classification,mlp_bspline,tiny,1337,0.01,0.3945204546662414,0.0938956338790139,15179332,13754059.0,1.1036256278964631,0.2544693468811632,91.69736842105264,91.70555037447116,
classification,mlp_bspline,tiny,2024,0.01,0.3942320254924886,0.0938269879069777,15179332,13755101.0,1.103542024155257,0.2570305814293502,91.44736842105264,91.4426899355056,
language_modelling,kan_bspline,base,42,0.01,0.8845849568140005,0.3638409502672312,123817297,78767494.0,1.5719339376215269,4.549291139120584,,,94.56535087275134
language_modelling,kan_bspline,base,1337,0.01,0.8811627467502111,0.3624333521026549,123817297,78941779.0,1.5684634748350428,4.562474722390647,,,95.82031533797483
language_modelling,kan_bspline,base,2024,0.01,0.882076946228938,0.3628093738793215,123817297,78895221.0,1.5693890635023382,4.540426977388152,,,93.73081251418884
language_modelling,kan_bspline,small,42,0.01,0.8105777986962883,0.2540476283773769,40755409,30401594.0,1.3405681623141208,4.717772787743872,,,111.91870815816908
language_modelling,kan_bspline,small,1337,0.01,0.8065758809573914,0.2527933654156188,40755409,30452712.0,1.338317881179187,4.700546882964752,,,110.00731713231173
language_modelling,kan_bspline,small,2024,0.01,0.8050448056958474,0.2523135027303983,40755409,30472269.0,1.3374589532535304,4.71981903222891,,,112.14795566574392
language_modelling,kan_bspline,tiny,42,0.01,0.7414537863756614,0.1569562778779016,15085201,12717484.0,1.1861780993787765,5.468562849275359,,,237.11917178103644
language_modelling,kan_bspline,tiny,1337,0.01,0.742209733746192,0.1571163022620646,15085201,12715070.0,1.1864032993919813,5.262487537258274,,,192.96089219496827
language_modelling,kan_bspline,tiny,2024,0.01,0.7392980524490941,0.1564999365934865,15085201,12724368.0,1.1855363661283609,5.438123996441181,,,230.0102783587922
language_modelling,kan_grkan,base,42,0.01,0.308498841744882,0.1408787262119851,123994321,106526159.0,1.1639800229725734,4.514598159999638,,,91.3408542378505
language_modelling,kan_grkan,base,1337,0.01,0.3135274427908438,0.1431750813813481,123994321,106241424.0,1.1670995769032615,4.524779780880436,,,92.27560273898108
language_modelling,kan_grkan,base,2024,0.01,0.3080098187481915,0.1406554095328285,123994321,106553849.0,1.1636775411088154,4.525164619906918,,,92.3111208260419
language_modelling,kan_grkan,small,42,0.01,0.28466796875,0.098792277489462,40789585,36759889.0,1.109622093799032,4.503949773180616,,,90.37338164240523
language_modelling,kan_grkan,small,1337,0.01,0.2667307677092375,0.0925672815744509,40789585,37013804.0,1.1020100771052874,4.488146813361199,,,88.9564401463582
language_modelling,kan_grkan,small,2024,0.01,0.2671477706344039,0.0927119998891874,40789585,37007901.0,1.1021858548529948,4.494254369002122,,,89.50140907414945
language_modelling,kan_grkan,tiny,42,0.01,0.2910650747793692,0.0681598270037349,15112465,14082402.0,1.0731454051659652,4.562615981468787,,,95.833851783437
language_modelling,kan_grkan,tiny,1337,0.01,0.2952188562463831,0.0691325339711291,15112465,14067702.0,1.0742667850086671,4.570838110787528,,,96.62505834991698
language_modelling,kan_grkan,tiny,2024,0.01,0.2862221046730324,0.0670257300844038,15112465,14099541.0,1.071840920211516,4.573577928019094,,,96.89015634397926
language_modelling,kan_mean,base,42,0.01,0.9181027637343164,0.3776272470234914,123817297,77060512.0,1.606754144067976,4.524640937427898,,,92.26279176509227
language_modelling,kan_mean,base,1337,0.01,0.91810358843422,0.3776275862329639,123817297,77060470.0,1.6067550197916,4.52512140588446,,,92.3071317773854
language_modelling,kan_mean,base,2024,0.01,0.9179348587611093,0.3775581855901764,123817297,77069063.0,1.606575870787478,4.526944317660489,,,92.47555299678729
language_modelling,kan_mean,small,42,0.01,0.892075517075517,0.2795902747534689,40755409,29360593.0,1.3880989733415807,4.596369622827886,,,99.12380484447874
language_modelling,kan_mean,small,1337,0.01,0.8918093384239217,0.2795068502440989,40755409,29363993.0,1.387938248044127,4.598201966547704,,,99.30560023072248
language_modelling,kan_mean,small,2024,0.01,0.8928396846691118,0.2798297767052221,40755409,29350832.0,1.3885606036653406,4.589074847462413,,,98.40334992799497
language_modelling,kan_mean,tiny,42,0.01,0.6530270462562129,0.1382374686290226,15085201,12999861.0,1.1604124844104102,4.796192163949485,,,121.04860558047524
language_modelling,kan_mean,tiny,1337,0.01,0.6567090798861632,0.1390169080279407,15085201,12988103.0,1.1614629942494297,4.798022909478827,,,121.27041775284358
language_modelling,kan_mean,tiny,2024,0.01,0.6720998426727594,0.1422749355477597,15085201,12938955.0,1.1658747557279547,4.801015549963648,,,121.63388009942749
language_modelling,mlp,base,42,0.01,0.3012989891899956,0.1376953253868166,123900241,106839757.0,1.1596829165382696,4.3530853502043,,,77.71788026992735
language_modelling,mlp,base,1337,0.01,0.3017412644845468,0.1378974476732454,123900241,106814714.0,1.1599548073498562,4.350711293272919,,,77.53359243903753
language_modelling,mlp,base,2024,0.01,0.2980536884731716,0.1362122047849769,123900241,107023516.0,1.1576917450553577,4.352467361387316,,,77.66986632660887
language_modelling,mlp,small,42,0.01,0.2641297799569589,0.0917726200392056,40741585,37002623.0,1.101045863694582,4.376920852032336,,,79.59257837689161
language_modelling,mlp,small,1337,0.01,0.2633189448603877,0.0914908931500824,40741585,37014101.0,1.1007044315354302,4.375859967954866,,,79.50818465170163
language_modelling,mlp,small,2024,0.01,0.2621007848668981,0.091067640102858,40741585,37031345.0,1.1001918779887687,4.384953299721519,,,80.23447615302725
language_modelling,mlp,tiny,42,0.01,0.2780207881221064,0.0652129029948954,15087505,14103605.0,1.0697623054531094,4.496787595224904,,,89.72842380903118
language_modelling,mlp,tiny,1337,0.01,0.2776887681749131,0.065135023981765,15087505,14104780.0,1.069673188805497,4.49024687232552,,,89.14345021327532
language_modelling,mlp,tiny,2024,0.01,0.2800988091362847,0.065700326197075,15087505,14096251.0,1.0703203993742734,4.49035413972624,,,89.15301291234468
language_modelling,mlp_bspline,base,42,0.01,0.3017681782864673,0.138216791378366,124268881,107092835.0,1.1603846419790829,4.364146630842607,,,78.5823115992517
language_modelling,mlp_bspline,base,1337,0.01,0.3005109138027579,0.1376409352233565,124268881,107164396.0,1.1596097737535889,4.358848186639639,,,78.16704870104081
language_modelling,mlp_bspline,small,42,0.01,0.2748806004125501,0.0960682726502932,40925905,36994224.0,1.1062782395435569,4.386370973272638,,,80.34830311342876
language_modelling,mlp_bspline,small,1337,0.01,0.2686125765141752,0.093877655240611,40925905,37083877.0,1.1036037305376674,4.392404509114695,,,80.8345529077925
language_modelling,mlp_bspline,small,2024,0.01,0.2718287027715134,0.0950016621501711,40925905,37037876.0,1.1049744051197752,4.394922324589321,,,81.03833583223349
language_modelling,mlp_bspline,tiny,42,0.01,0.2545655957695578,0.0605851314900559,15179665,14260003.0,1.0644924127996327,4.461675926879212,,,86.63257736549103
language_modelling,mlp_bspline,tiny,1337,0.01,0.25365269805839,0.0603678671433131,15179665,14263301.0,1.0642462779128057,4.468392304011753,,,87.21639279469656
language_modelling,mlp_bspline,tiny,2024,0.01,0.2541847142502834,0.0604944839033008,15179665,14261379.0,1.0643897059323646,4.46989563533238,,,87.34760653380677